id,school,name,startup,active,recovery,cancelStart,cancelEnd,cancelTo,damage,poise,hitstun,ifStart,ifEnd,chi,reach,boxW,boxH,lunge,hitstop,armorFrom,armorTo,active2Start,active2End,tags,notes
MOV-DODGE,common,闪避,2,0,14,13,17,LHDS,0,0,0,3,12,0,0,0,0,0.45,0,0,0,0,0,dash,无敌3至12帧
MOV-AIRDODGE,common,空闪,2,0,16,12,15,LH,0,0,0,3,11,0,0,0,0,0.35,0,0,0,0,0,dash air,每跳一次
A_L1,sword,轻一,7,3,12,10,18,LDS,1.0,4,12,0,0,0,1.05,1.3,0.9,0.15,2,0,0,0,0,chain1,起手
A_L2,sword,轻二,6,3,14,9,17,LHDS,1.0,4,12,0,0,0,1.05,1.3,0.9,0.2,2,0,0,0,0,chain2,可接重
A_L3,sword,轻三,9,4,20,14,22,HDS,1.4,8,16,0,0,0,1.1,1.4,1.0,0.25,2,0,0,0,0,chain3,收招
A_H,sword,重击,16,5,26,22,30,S,2.2,22,22,0,0,0,1.15,1.5,1.1,0.35,4,0,0,0,0,guardBreak,破防
A_L2H,sword,连段重,14,5,26,22,30,S,2.4,24,24,0,0,0,1.15,1.5,1.1,0.4,4,0,0,0,0,guardBreak,轻二后接重
A_AL1,sword,空轻一,6,3,10,8,14,LD,0.9,3,12,0,0,0,1.0,1.2,0.9,0.1,2,0,0,0,0,air chain1,
A_AL2,sword,空轻二,6,3,12,8,14,HD,0.9,3,12,0,0,0,1.0,1.2,0.9,0.1,2,0,0,0,0,air chain2,
A_AD,sword,下重砸,10,90,12,0,0,,1.8,16,18,0,0,0,0.9,1.4,1.2,0,4,0,0,0,0,airDown,落地判定
A_DA,sword,冲刺轻,10,4,16,14,22,D,1.2,6,14,0,0,0,1.1,1.4,0.9,0.6,2,0,0,0,0,dashAtk,
A_DH,sword,冲刺重,18,5,28,22,30,S,2.0,18,20,0,0,0,1.2,1.5,1.1,0.8,4,0,0,0,0,dashAtk guardBreak,
QF-1,qingfeng,破空刺,8,4,14,12,20,D,1.6,12,14,0,0,12,1.3,1.7,0.8,0.9,3,0,0,0,0,skill,可取消后摇
QF-2,qingfeng,回风舞,10,6,18,0,0,,0.8,6,10,0,0,22,0,2.2,1.8,0,2,0,0,16,21,skill centerSelf,两段身周
QF-3,qingfeng,一剑霜寒,20,6,28,0,0,,3.4,35,24,0,0,35,1.7,2.6,1.0,1.2,5,12,20,0,0,skill chargeable,蓄力大刺
E_SWORD_A,enemy,杂兵横斩,14,4,18,0,0,,1.0,0,14,0,0,0,0.95,1.2,0.9,0.1,2,0,0,0,0,parryable,
E_SWORD_B,enemy,杂兵连斩,10,4,20,0,0,,1.0,0,14,0,0,0,0.95,1.2,0.9,0.15,2,0,0,0,0,parryable,
E_SWORD_DASH,enemy,杂兵冲刺砍,18,5,22,0,0,,1.2,0,16,0,0,0,1.0,1.3,0.9,1.6,2,0,0,0,0,parryable,
E_CAPT_1,enemy,捕头连斩一,12,4,14,0,0,,1.0,0,14,0,0,0,1.0,1.3,0.9,0.15,2,0,0,0,0,parryable,
E_CAPT_2,enemy,捕头连斩二,10,4,14,0,0,,1.1,0,14,0,0,0,1.0,1.3,0.9,0.15,2,0,0,0,0,parryable,
E_CAPT_3,enemy,捕头红甲斩,12,4,24,0,0,,1.4,0,18,0,0,0,1.05,1.4,1.0,0.25,3,1,16,0,0,parryable armor,第三下霸体
E_CAPT_CHARGE,enemy,红甲冲刺,22,8,26,0,0,,2.5,0,20,0,0,0,1.1,1.6,1.2,3.2,4,1,30,0,0,parryable armor charge,弹反破招
E_CAPT_SLAM,enemy,砸地,20,5,28,0,0,,1.8,0,22,0,0,0,1.2,2.4,1.2,0.2,4,1,20,0,0,armor,前半霸体
