id,school,move,startup,active,recovery,total,cancel_start,cancel_end,damage,poise,hitstun,iframes,chi_cost,notes
MOV-DODGE,common,dodge,2,0,14,18,0,0,0,0,0,3-12,0,i-frames 10f
BLK-PARRY,common,parry_window,6,5,10,0,6,10,0,0,28,1-10_on_success,0,window frames 6-10
A_L1,sword,light1,7,3,12,22,10,18,1.0,4,12,,0,sword baseline
A_L2,sword,light2,6,3,14,23,9,17,1.0,4,12,,0,
A_L3,sword,light3,9,4,20,33,14,22,1.4,8,16,,0,
A_H,sword,heavy,16,5,26,47,22,30,2.2,22,22,,0,skill cancel only
QF-1,qingfeng,破空刺,8,4,14,26,12,20,1.6,12,14,,12,can cancel recovery
QF-2,qingfeng,回风舞,10,16,18,44,,,1.6,12,,,22,two hits approx
QF-3,qingfeng,一剑霜寒,20,6,28,54,,,3.4,35,,,35,chargeable
MD-1,modao,鬼影斩,6,6,14,26,18,24,1.6,10,,,14,afterimage
MD-3,modao,饮血一刀,14,5,24,43,,,2.8,18,,,20,self dmg 8%
MD-5,modao,亡命步,3,0,8,14,,,0,0,,2-11,10,mobility i-frames
LY-1,luoyun,苍龙出水,11,5,16,32,20,28,1.7,14,,,14,advance
LY-6,luoyun,穿云,14,7,26,47,,,3.6,40,,,0,needs full spear gauge
E_SWORD_A,enemy,杂兵横斩,14,4,18,36,,,1.0,0,14,,0,parryable
E_CAPT_CHARGE,enemy,捕头红甲冲刺,22,8,26,56,,,2.5,0,20,,0,parry or dodge through
B_CL_RED,boss_chilian,红甲冲刺,20,10,24,54,,,3.0,0,24,,0,phase2
B_TB_OPEN,boss_tiebi,开盾重劈,18,6,30,54,,,3.2,0,26,,0,parry 18-22
B_BM_DUEL,boss_beiming,武决连,10,9,22,41,,,2.8,0,18,,0,approx 3-hit
